feature,importance
feature_17,0.4549544272137368
feature_8,0.1047099435115388
feature_7,0.09652087597402564
feature_5,0.0908704176459883
feature_0,0.050714950347895894
feature_3,0.04664168660318252
feature_1,0.04050756893602867
feature_2,0.030385367980494155
feature_4,0.028157333123871416
feature_6,0.02190437807027937
feature_12,0.01139053588545993
feature_16,0.01090013998339148
feature_15,0.004012804472869552
feature_10,0.0027802806443625746
feature_14,0.0027505695225536688
feature_11,0.001822389591708796
feature_13,0.0007383059820499572
feature_9,0.00023802451056256197
